diff	diff_fill	dir	dir_reverse	bin	bin_reverse	dec	dec_reverse
	1013	1	0	00000	00000	32	0
	1013	0	1	01100	00110	12	38
	1013	1	0	00000	00000	32	0
	1013	0	1	10000	00001	16	33
1020	1020	0	1	11111	11111	31	63
	1020	1	0	01110	01110	46	14
	1020	0	1	11100	00111	28	39
	1020	1	0	01110	01110	46	14
	1020	0	1	11100	00111	28	39
	1020	1	0	01111	11110	47	30
1021	1021	0	1	11110	01111	30	47
	1021	1	0	01110	01110	46	14
	1021	0	1	11100	00111	28	39
	1021	1	0	01110	01110	46	14
	1021	0	1	11100	00111	28	39
	1021	1	0	01111	11110	47	30
1022	1022	0	1	00110	01100	6	44
	1022	1	0	00011	11000	35	24
	1022	0	1	00110	01100	6	44
	1022	1	0	00010	01000	34	8
	1022	0	1	01110	01110	14	46
	1022	1	0	00000	00000	32	0
	1022	0	1	10000	00001	16	33
1023	1023	0	1	00110	01100	6	44
	1023	1	0	00011	11000	35	24
	1023	0	1	00110	01100	6	44
	1023	1	0	00011	11000	35	24
	1023	0	1	01110	01110	14	46
	1023	1	0	00000	00000	32	0
	1023	0	1	10000	00001	16	33
1030	1030	0	1	00111	11100	7	60
	1030	1	0	00010	01000	34	8
	1030	0	1	01110	01110	14	46
	1030	1	0	00000	00000	32	0
	1030	0	1	10000	00001	16	33
1031	1031	0	1	00110	01100	6	44
	1031	1	0	00010	01000	34	8
	1031	0	1	01110	01110	14	46
	1031	1	0	00000	00000	32	0
	1031	0	1	10000	00001	16	33
1032	1032	0	1	00110	01100	6	44
	1032	1	0	00011	11000	35	24
	1032	0	1	01110	01110	14	46
	1032	1	0	00000	00000	32	0
	1032	0	1	10000	00001	16	33
1033	1033	0	1	00110	01100	6	44
	1033	1	0	00011	11000	35	24
	1033	0	1	00010	01000	2	40
	1033	1	0	00011	11000	35	24
	1033	0	1	01110	01110	14	46
	1033	1	0	00000	00000	32	0
	1033	0	1	10000	00001	16	33
1100	1100	0	1	00111	11100	7	60
	1100	1	0	00000	00000	32	0
	1100	0	1	01000	00010	8	34
	1100	1	0	00000	00000	32	0
	1100	0	1	10000	00001	16	33
1101	1101	0	1	00110	01100	6	44
	1101	1	0	00000	00000	32	0
	1101	0	1	01000	00010	8	34
	1101	1	0	00000	00000	32	0
	1101	0	1	10000	00001	16	33
1102	1102	0	1	00010	01000	2	40
	1102	1	0	00011	11000	35	24
	1102	0	1	00110	01100	6	44
	1102	1	0	00000	00000	32	0
	1102	0	1	01000	00010	8	34
	1102	1	0	00000	00000	32	0
	1102	0	1	10000	00001	16	33
1103	1103	0	1	00011	11000	3	56
	1103	1	0	00001	10000	33	16
	1103	0	1	00111	11100	7	60
	1103	1	0	00000	00000	32	0
	1103	0	1	01000	00010	8	34
	1103	1	0	00000	00000	32	0
	1103	0	1	10000	00001	16	33
1110	1110	0	1	11111	11111	31	63
	1110	1	0	01110	01110	46	14
	1110	0	1	11100	00111	28	39
	1110	1	0	01100	00110	44	6
	1110	0	1	11000	00011	24	35
	1110	1	0	01111	11110	47	30
1111	1111	0	1	11110	01111	30	47
	1111	1	0	01110	01110	46	14
	1111	0	1	11100	00111	28	39
	1111	1	0	01100	00110	44	6
	1111	0	1	11000	00011	24	35
	1111	1	0	01111	11110	47	30
1112	1112	0	1	11110	01111	30	47
	1112	1	0	01111	11110	47	30
	1112	0	1	11110	01111	30	47
	1112	1	0	01110	01110	46	14
	1112	0	1	11100	00111	28	39
	1112	1	0	01100	00110	44	6
	1112	0	1	11000	00011	24	35
1113	1113	0	1	00011	11000	3	56
	1113	1	0	00001	10000	33	16
	1113	0	1	00011	11000	3	56
	1113	1	0	00000	00000	32	0
	1113	0	1	00100	00100	4	36
	1113	1	0	00000	00000	32	0
	1113	0	1	01000	00010	8	34
	1113	1	0	00000	00000	32	0
	1113	0	1	10000	00001	16	33
1120	1120	0	1	11111	11111	31	63
	1120	1	0	01110	01110	46	14
	1120	0	1	11100	00111	28	39
	1120	1	0	01110	01110	46	14
	1120	0	1	11100	00111	28	39
	1120	1	0	01100	00110	44	6
	1120	0	1	11000	00011	24	35
1121	1121	0	1	11110	01111	30	47
	1121	1	0	01110	01110	46	14
	1121	0	1	11100	00111	28	39
	1121	1	0	01110	01110	46	14
	1121	0	1	11100	00111	28	39
	1121	1	0	01100	00110	44	6
	1121	0	1	11000	00011	24	35
1122	1122	0	1	11110	01111	30	47
	1122	1	0	01111	11110	47	30
	1122	0	1	11110	01111	30	47
	1122	1	0	01110	01110	46	14
	1122	0	1	11100	00111	28	39
	1122	1	0	01110	01110	46	14
	1122	0	1	00100	00100	4	36
	1122	1	0	00000	00000	32	0
	1122	0	1	11000	00011	24	35
1123	1123	0	1	00110	01100	6	44
	1123	1	0	00011	11000	35	24
	1123	0	1	00110	01100	6	44
	1123	1	0	00011	11000	35	24
	1123	0	1	00110	01100	6	44
	1123	1	0	00000	00000	32	0
	1123	0	1	01000	00010	8	34
	1123	1	0	00000	00000	32	0
	1123	0	1	10000	00001	16	33
1130	1130	0	1	00111	11100	7	60
	1130	1	0	00010	01000	34	8
	1130	0	1	00110	01100	6	44
	1130	1	0	00000	00000	32	0
	1130	0	1	01000	00010	8	34
	1130	1	0	00000	00000	32	0
	1130	0	1	10000	00001	16	33
1131	1131	0	1	00110	01100	6	44
	1131	1	0	00010	01000	34	8
	1131	0	1	00110	01100	6	44
	1131	1	0	00000	00000	32	0
